PROTID	m.ID	concat.id	KO.1	KO.GENE.1	DESCRIPTION.1	KO.EC.1	SCORE.KO.1	KO.2	KO.GENE.2	DESCRIPTION.2	SCORE.KO.2		KO.ALL	MET.PATH.1	MET.PATH.2	UNIPROT.ID	UNIPROT.DESC	Ca_BIND	GO.ONTOLOGY	BP.GO.ONTOLOGY
lcl|c241817_g1_i2|m.28964	m.28964	* [] (m.28964)					139	K10104			9		K10104							
lcl|c241817_g1_i5|m.28968	m.28968	* [] (m.28968)					124	K10104			17		K10104							
lcl|c241824_g2_i5|m.28975	m.28975	* [] (m.28975)		FACoAS	fatty-acyl-CoA synthase 	[EC:6.2.1.-]	45	K23617			13		K00666			A0A2B4S250	"Acyl-CoA synthetase family member 2, mitochondrial"		catalytic activity [GO:0003824]	
lcl|c241824_g2_i8|m.28976	m.28976	 prickle [PRICKLE] (m.28976)	K04511	PRICKLE	 prickle		67						K04511	Wnt signaling pathway		A0A2B4RW05	Testin		zinc ion binding [GO:0008270]	
lcl|c241824_g2_i8|m.28977	m.28977	* [] (m.28977)		FACoAS	fatty-acyl-CoA synthase 	[EC:6.2.1.-]	64	K23617			15		K00666							
lcl|c241825_g1_i4|m.28980	m.28980	 acylaminoacyl-peptidase  [APEH] (m.28980)	K01303	APEH	 acylaminoacyl-peptidase 	[EC:3.4.19.1]	26						K01303			A0A2B4RX27	Acylamino-acid-releasing enzyme		serine-type endopeptidase activity [GO:0004252]	
lcl|c241834_g7_i13|m.28983	m.28983	catalytic activity [GO:0003824]; metal ion binding [GO:0046872]** [] (m.28983)					5									A0A2B4SUA1	Uncharacterized protein C05D11.1		catalytic activity [GO:0003824]; metal ion binding [GO:0046872]	
lcl|c241837_g2_i10|m.28988	m.28988	Uncharacterized protein** [] (m.28988)					123									A0A3M6UMB5	Uncharacterized protein			
lcl|c241837_g2_i10|m.28989	m.28989	UPF0505 protein C16orf62* [] (m.28989)					102									A0A2B4RM35	UPF0505 protein C16orf62			
lcl|c241854_g3_i2|m.29002	m.29002	* [] (m.29002)					124	K20478			3		K20478			A0A3M6T5U9	Uncharacterized protein		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; signal transduction [GO:0007165]	signal transduction [GO:0007165]
lcl|c241857_g5_i1|m.29018	m.29018	 prefoldin subunit 4 [PFDN4] (m.29018)	K09550	PFDN4	 prefoldin subunit 4		79						K09550			A7SUS0	Prefoldin subunit 4		cytoplasm [GO:0005737]; prefoldin complex [GO:0016272]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	protein folding [GO:0006457]
lcl|c241869_g2_i3|m.29027	m.29027	 dimethylaniline monooxygenase (N-oxide forming)  [FMO] (m.29027)	K00485	FMO	 dimethylaniline monooxygenase (N-oxide forming) 	[EC:1.14.13.8]	14						K00485	Drug metabolism - cytochrome P450		A0A2B4SFP0	Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8)		"endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]"	
lcl|c241873_g2_i3|m.29041	m.29041	Annexin* [] (m.29041)														A0A2B4SSD9	Annexin		calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]	
lcl|c241873_g2_i3|m.29039	m.29039	 annexin A7/11 [ANXA7_11] (m.29039)	K17095	ANXA7_11	 annexin A7/11		76						K17095	Amyotrophic lateral sclerosis		A0A3M6UZ63	Annexin		calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]	
lcl|c241874_g1_i1|m.29042	m.29042	 spectrin alpha [SPTA] (m.29042)	K06114	SPTA	 spectrin alpha		240						K06114	Apoptosis		A0A3M6UK04	Uncharacterized protein	"CA_BIND 2262..2273;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448""; CA_BIND 2305..2316;  /evidence=""ECO:0000256|PROSITE-ProRule:PRU00448"""	calcium ion binding [GO:0005509]	
lcl|c241874_g1_i1|m.29043	m.29043	 spectrin alpha [SPTA] (m.29043)	K06114	SPTA	 spectrin alpha		53						K06114	Apoptosis						
lcl|c241874_g1_i1|m.29044	m.29044	 spectrin alpha [SPTA] (m.29044)	K06114	SPTA	 spectrin alpha		29						K06114	Apoptosis						
lcl|c241874_g1_i11|m.29053	m.29053	 spectrin alpha [SPTA] (m.29053)	K06114	SPTA	 spectrin alpha		199						K06114	Apoptosis						
lcl|c241874_g1_i11|m.29054	m.29054	 spectrin alpha [SPTA] (m.29054)	K06114	SPTA	 spectrin alpha		65						K06114	Apoptosis						
lcl|c241874_g1_i7|m.29076	m.29076	 spectrin alpha [SPTA] (m.29076)	K06114	SPTA	 spectrin alpha		10						K06114	Apoptosis						
lcl|c241900_g1_i2|m.29120	m.29120	 adipocyte plasma membrane-associated protein [APMAP] (m.29120)	K21407	APMAP	 adipocyte plasma membrane-associated protein		109						K21407							
lcl|c241909_g1_i6|m.29130	m.29130	catalase activity [GO:0004096]; heme binding [GO:0020037]** [] (m.29130)					5									A0A3M6ULG0	Uncharacterized protein		catalase activity [GO:0004096]; heme binding [GO:0020037]	
lcl|c241909_g2_i1|m.29131	m.29131	* [] (m.29131)					5	K19538			1		K19538							
lcl|c241909_g2_i2|m.29132	m.29132	* [] (m.29132)					6	K19538			1		K19538							
lcl|c241909_g2_i3|m.29133	m.29133	* [] (m.29133)					6	K19538			1		K19538							
lcl|c241916_g1_i1|m.29146	m.29146	 seryl-tRNA synthetase  [SARS] (m.29146)	K01875	SARS	 seryl-tRNA synthetase 	[EC:6.1.1.11]	115						K01875	Aminoacyl-tRNA biosynthesis						
lcl|c241916_g1_i7|m.29148	m.29148	 seryl-tRNA synthetase  [SARS] (m.29148)	K01875	SARS	 seryl-tRNA synthetase 	[EC:6.1.1.11]	122						K01875	Aminoacyl-tRNA biosynthesis						
lcl|c241966_g1_i1|m.29199	m.29199	Uncharacterized protein** [] (m.29199)														A0A3M6TJZ8	Uncharacterized protein			
lcl|c241966_g1_i2|m.29201	m.29201	Golgin subfamily A member 4* [] (m.29201)														A0A2B4S234	Golgin subfamily A member 4			
lcl|c242000_g5_i4|m.29233	m.29233	* [] (m.29233)					76	K23677			32		K23677							
lcl|c242001_g1_i2|m.29236	m.29236	" collagen, type VI, alpha [COL6A] (m.29236)"	K06238	COL6A	" collagen, type VI, alpha"		153						K06238	"Protein digestion and absorption, Focal adhesion, PI3K-Akt signaling pathway, ECM-receptor interaction, Human papillomavirus infection"						
lcl|c242047_g5_i1|m.29305	m.29305	 signal transducing adaptor molecule [STAM] (m.29305)	K04705	STAM	 signal transducing adaptor molecule		147						K04705	"Endocytosis, JAK-STAT signaling pathway"		A0A2B4SE01	Signal transducing adapter molecule 1		intracellular protein transport [GO:0006886]	intracellular protein transport [GO:0006886]
lcl|c242066_g1_i1|m.29327	m.29327	 RuvB-like protein 1 (pontin 52) [RUVBL1] (m.29327)	K04499	RUVBL1	 RuvB-like protein 1 (pontin 52)		409						K04499	Wnt signaling pathway		A0A2B4RDT0	RuvB-like helicase (EC 3.6.4.12)		Ino80 complex [GO:0031011]; NuA4 histone acetyltransferase complex [GO:0035267]; R2TP complex [GO:0097255]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]	
lcl|c242066_g1_i1|m.29328	m.29328	 coiled-coil and C2 domain-containing protein 1 [CC2D1] (m.29328)	K18260	CC2D1	 coiled-coil and C2 domain-containing protein 1		66						K18260			A0A3M6U491	Uncharacterized protein		"DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]"	
lcl|c242071_g2_i1|m.29339	m.29339	NudC domain-containing protein 3* [] (m.29339)					133									A0A2B4SST4	NudC domain-containing protein 3			
lcl|c242074_g1_i4|m.29345	m.29345	Uncharacterized protein** [] (m.29345)					69									A0A2B4RPY2	Uncharacterized protein			
lcl|c242078_g5_i1|m.29355	m.29355	 partitioning defective protein 6 [PARD6] (m.29355)	K06093	PARD6	 partitioning defective protein 6		156						K06093	"Endocytosis, Rap1 signaling pathway, Axon guidance, Hippo signaling pathway, Hippo signaling pathway - fly, Tight junction, Human papillomavirus infection"		A0A2B4SHM7	Partitioning defective 6-like gamma		establishment or maintenance of cell polarity [GO:0007163]	establishment or maintenance of cell polarity [GO:0007163]
lcl|c242089_g1_i1|m.29373	m.29373	 erlin [ERLIN] (m.29373)	K23341	ERLIN	 erlin		225						K23341			A0A2B4SLC8	Erlin-1		endoplasmic reticulum [GO:0005783]; ubiquitin protein ligase binding [GO:0031625]	
lcl|c242092_g2_i3|m.29375	m.29375	* [] (m.29375)					30	K16482			8		K16482			A0A3M6UR63	WD_REPEATS_REGION domain-containing protein (Fragment)			
lcl|c242097_g1_i1|m.29384	m.29384	* [] (m.29384)					2	K10382			1		K10382			A0A2B4SH99	Utrophin		actin binding [GO:0003779]	
lcl|c242139_g4_i2|m.29446	m.29446	* [] (m.29446)		CBR1	 carbonyl reductase 1 	[EC:1.1.1.184 1.1.1.189 1.1.1.197]	78	K15095			2		K00079			A0A2B4SA77	Carbonyl reductase [NADPH] 1			
lcl|c242146_g1_i10|m.29452	m.29452	Predicted protein (Fragment)* [] (m.29452)					62									A7SS67	Predicted protein (Fragment)		actin filament binding [GO:0051015]; actin cytoskeleton organization [GO:0030036]; actin filament severing [GO:0051014]	actin cytoskeleton organization [GO:0030036]; actin filament severing [GO:0051014]
lcl|c242146_g1_i8|m.29453	m.29453	Protein flightless-1-like* [] (m.29453)					39									A0A2B4SPM8	Protein flightless-1-like		actin filament binding [GO:0051015]; actin cytoskeleton organization [GO:0030036]; actin filament severing [GO:0051014]	actin cytoskeleton organization [GO:0030036]; actin filament severing [GO:0051014]
lcl|c242185_g2_i2|m.29491	m.29491	 mucin-4 [MUC4] (m.29491)	K22017	MUC4	 mucin-4		46						K22017			A0A3M6T5Z0	Uncharacterized protein (Fragment)		integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]	cell-matrix adhesion [GO:0007160]
lcl|c242193_g2_i1|m.29501	m.29501	 transglutaminase 1  [TGM1] (m.29501)	K05619	TGM1	 transglutaminase 1 	[EC:2.3.2.13]	303						K05619							
lcl|c242249_g1_i3|m.29549	m.29549	" MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5 [SLC22A4_5] (m.29549)"	K08202	SLC22A4_5	" MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5"		72						K08202	Choline metabolism in cancer						
lcl|c242257_g2_i2|m.29551	m.29551	 WASH complex subunit FAM21* [FAM21] (m.29551)					10	K18462	FAM21	 WASH complex subunit FAM21	5		K18462		Endocytosis	A0A2B4SXV3	WASH complex subunit FAM21			
lcl|c242277_g7_i2|m.29564	m.29564	 folate receptor [FOLR] (m.29564)	K13649	FOLR	 folate receptor		108						K13649	"Endocytosis, Antifolate resistance"		A0A3M6UV93	Folate_rec domain-containing protein		integral component of membrane [GO:0016021]	
lcl|c242303_g4_i4|m.29632	m.29632	 2-oxoglutarate dehydrogenase E1 component  [OGDH] (m.29632)	K00164	OGDH	 2-oxoglutarate dehydrogenase E1 component 	[EC:1.2.4.2]	47						K00164	"Carbon metabolism, Citrate cycle, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"		A0A2B4S9N8	"2-oxoglutarate dehydrogenase, mitochondrial"		oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]; tricarboxylic acid cycle [GO:0006099]	tricarboxylic acid cycle [GO:0006099]
lcl|c242304_g2_i1|m.29634	m.29634	 neural cell adhesion molecule* [NCAM] (m.29634)					5	K06491	NCAM	 neural cell adhesion molecule	4		K06491		"Cell adhesion molecules, Prion diseases"					
lcl|c242311_g2_i1|m.29646	m.29646	* [] (m.29646)					18	K18274			11		K18274							
lcl|c242359_g2_i2|m.29694	m.29694	 protein TIF31 [TIF31] (m.29694)	K03255	TIF31	 protein TIF31		86						K03255							
lcl|c242362_g2_i1|m.29701	m.29701	" laminin, alpha 3/5 [LAMA3_5] (m.29701)"	K06240	LAMA3_5	" laminin, alpha 3/5"		14						K06240	"Focal adhesion, PI3K-Akt signaling pathway, ECM-receptor interaction, Toxoplasmosis, Amoebiasis, Human papillomavirus infection, Pathways in cancer, Small cell lung cancer"		A0A2B4SHC7	Laminin subunit alpha			
lcl|c242362_g2_i1|m.29700	m.29700	" laminin, alpha 3/5 [LAMA3_5] (m.29700)"	K06240	LAMA3_5	" laminin, alpha 3/5"		481						K06240	"Focal adhesion, PI3K-Akt signaling pathway, ECM-receptor interaction, Toxoplasmosis, Amoebiasis, Human papillomavirus infection, Pathways in cancer, Small cell lung cancer"		A0A3M6UEK2	Uncharacterized protein			
lcl|c242364_g3_i1|m.29719	m.29719	* [] (m.29719)					11	K17253			3		K17253			A0A2B4RTV3	EGF-like repeat and discoidin I-like domain-containing protein 3			
lcl|c242373_g3_i2|m.29725	m.29725	 adenosylhomocysteinase  [AHCY] (m.29725)	K01251	AHCY	 adenosylhomocysteinase 	[EC:3.3.1.1]	136						K01251	"Cysteine and methionine metabolism, Metabolic pathways"		A0A2B4SSI8	Adenosylhomocysteinase (EC 3.3.1.1)		adenosylhomocysteinase activity [GO:0004013]; one-carbon metabolic process [GO:0006730]	one-carbon metabolic process [GO:0006730]
lcl|c242381_g1_i1|m.29746	m.29746	 5-oxoprolinase (ATP-hydrolysing)  [OPLAH] (m.29746)	K01469	OPLAH	 5-oxoprolinase (ATP-hydrolysing) 	[EC:3.5.2.9]	176						K01469	"Glutathione metabolism, Metabolic pathways"						
lcl|c242419_g1_i1|m.29781	m.29781	 epidermal growth factor receptor substrate 15* [EPS15] (m.29781)					9	K12472	EPS15	 epidermal growth factor receptor substrate 15	1		K12472		Endocytosis	A0A3M6TAT9	Uncharacterized protein			
lcl|c242433_g1_i1|m.29789	m.29789	 translation initiation factor 4G [EIF4G] (m.29789)	K03260	EIF4G	 translation initiation factor 4G		31						K03260	"RNA transport, Viral myocarditis"		A0A2B4S618	Eukaryotic translation initiation factor 4 gamma 1		mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]	
lcl|c242463_g1_i3|m.29817	m.29817	 alcohol dehydrogenase [EC:1.1.1.-]* [adh2] (m.29817)					45	K18369	adh2	 alcohol dehydrogenase [EC:1.1.1.-]	1		K18369		"Propanoate metabolism, Metabolic pathways"					
lcl|c242487_g1_i2|m.29847	m.29847	von Willebrand factor A domain-containing protein 5A* [] (m.29847)					264									A0A2B4SV79	von Willebrand factor A domain-containing protein 5A		ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]	microtubule-based movement [GO:0007018]
lcl|c242499_g1_i3|m.29884	m.29884	 large subunit ribosomal protein L44e [RP-L44e] (m.29884)	K02929	RP-L44e	 large subunit ribosomal protein L44e		78						K02929	Ribosome		T2MEC8	60S ribosomal protein L36a (Fragment)		ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]
lcl|c242504_g2_i2|m.29888	m.29888	Glycine betaine transporter OpuD* [] (m.29888)					436									A0A2B4SSL7	Glycine betaine transporter OpuD		integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; nitrogen compound transport [GO:0071705]	nitrogen compound transport [GO:0071705]
lcl|c242511_g4_i7|m.29892	m.29892	Rab-like protein 6* [] (m.29892)					136									A0A2B4SGB6	Rab-like protein 6		GTP binding [GO:0005525]	
lcl|c242527_g2_i1|m.29909	m.29909	17beta hydroxysteroid dehydrogenase type 14* [] (m.29909)					175									A0A0G2SJM3	17beta hydroxysteroid dehydrogenase type 14		oxidoreductase activity [GO:0016491]	
lcl|c242539_g3_i10|m.29919	m.29919	 aryl hydrocarbon receptor [AHR] (m.29919)	K09093	AHR	 aryl hydrocarbon receptor		59						K09093	"Th17 cell differentiation, Cushing syndrome"		A0A2B4SJH0	Aryl hydrocarbon receptor		aryl hydrocarbon receptor complex [GO:0034751]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; xenobiotic metabolic process [GO:0006805]	xenobiotic metabolic process [GO:0006805]
lcl|c242541_g2_i5|m.29922	m.29922	 small subunit ribosomal protein S25e [RP-S25e] (m.29922)	K02975	RP-S25e	 small subunit ribosomal protein S25e		56						K02975	Ribosome		A0A3M6UTF4	40S ribosomal protein S25		ribosome [GO:0005840]	
lcl|c242561_g4_i1|m.29954	m.29954	 hexosaminidase  [HEXA_B] (m.29954)	K12373	HEXA_B	 hexosaminidase 	[EC:3.2.1.52]	117						K12373	"Glycosphingolipid biosynthesis - globo and isoglobo series, Glycosphingolipid biosynthesis - ganglio series, Lysosome, Other glycan degradation, Various types of N-glycan biosynthesis, Amino sugar and nucleotide sugar metabolism, Glycosaminoglycan degradation, Metabolic pathways"		A0A3M6V3Q9	Glyco_hydro_20 domain-containing protein		beta-N-acetylhexosaminidase activity [GO:0004563]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]
lcl|c242581_g1_i1|m.29984	m.29984	 acid phosphatase type 7 [ACP7] (m.29984)	K22390	ACP7	 acid phosphatase type 7		241						K22390			A0A3M6TYY5	Purple acid phosphatase (EC 3.1.3.2)		acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]	
lcl|c242594_g2_i1|m.30002	m.30002	 pre-mRNA-processing factor 8 [PRPF8] (m.30002)	K12856	PRPF8	 pre-mRNA-processing factor 8		224						K12856	Spliceosome		A0A3M6UCM8	MPN domain-containing protein		"spliceosomal complex [GO:0005681]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; mRNA splicing, via spliceosome [GO:0000398]"	"mRNA splicing, via spliceosome [GO:0000398]"
lcl|c242601_g4_i2|m.30017	m.30017	* [] (m.30017)					24													
lcl|c242614_g5_i1|m.30034	m.30034	* [] (m.30034)					171													
lcl|c242618_g2_i3|m.30039	m.30039	Protein-tyrosine-phosphatase (EC 3.1.3.48)* [] (m.30039)														A0A3M6TTN1	Protein-tyrosine-phosphatase (EC 3.1.3.48)		integral component of membrane [GO:0016021]; protein tyrosine phosphatase activity [GO:0004725]	
lcl|c242618_g2_i5|m.30041	m.30041	* [] (m.30041)																		
lcl|c242628_g2_i1|m.30054	m.30054	 hemicentin [HMCN] (m.30054)	K17341	HMCN	 hemicentin		120						K17341							
lcl|c242633_g1_i1|m.30058	m.30058	 gelsolin [GSN] (m.30058)	K05768	GSN	 gelsolin		260						K05768	"Fc gamma R-mediated phagocytosis, Regulation of actin cytoskeleton, Viral carcinogenesis"		A0A2B4SST8	Gelsolin-like protein 2		actin filament binding [GO:0051015]	
lcl|c242644_g1_i1|m.30082	m.30082	Myelin expression factor 2* [] (m.30082)					156									A0A2B4RFX9	Myelin expression factor 2		RNA binding [GO:0003723]	
lcl|c242662_g1_i1|m.30100	m.30100	 calcium/calmodulin-dependent protein kinase I  [CAMK1] (m.30100)	K08794	CAMK1	 calcium/calmodulin-dependent protein kinase I 	[EC:2.7.11.17]	105						K08794	"Calcium signaling pathway, Oxytocin signaling pathway, Aldosterone synthesis and secretion, Glioma"						
lcl|c242671_g2_i1|m.30114	m.30114	* [] (m.30114)					13	K19527			4		K19527			A0A2B4S122	Vacuolar protein sorting-associated protein 13D		integral component of membrane [GO:0016021]	
lcl|c242709_g1_i2|m.30167	m.30167	 transmembrane protein 173 [TMEM173] (m.30167)	K12654	TMEM173	 transmembrane protein 173		112						K12654	"NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, Cytosolic DNA-sensing pathway, Shigellosis, Human cytomegalovirus infection, Herpes simplex virus 1 infection, Human immunodeficiency virus 1 infection"						
lcl|c242717_g1_i3|m.30173	m.30173	Collagen alpha-1(XXVII) chain B* [] (m.30173)														A0A2B4SV32	Collagen alpha-1(XXVII) chain B		collagen trimer [GO:0005581]; extracellular matrix structural constituent [GO:0005201]	
lcl|c242740_g2_i1|m.30187	m.30187	 galactosylxylosylprotein 3-beta-galactosyltransferase  [B3GALT6] (m.30187)	K00734	B3GALT6	 galactosylxylosylprotein 3-beta-galactosyltransferase 	[EC:2.4.1.134]	15						K00734	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, Glycosaminoglycan biosynthesis - heparan sulfate / heparin, Metabolic pathways"						
lcl|c242743_g1_i1|m.30188	m.30188	* [] (m.30188)					326	K09645			13		K09645							
lcl|c242755_g1_i3|m.30192	m.30192	 alkaline phosphatase  [ALP] (m.30192)	K01077	ALP	 alkaline phosphatase 	[EC:3.1.3.1]	250						K01077	"Thiamine metabolism, Folate biosynthesis, Metabolic pathways, Two-component system"						
lcl|c242793_g1_i1|m.30226	m.30226	 jagged-1* [JAG1] (m.30226)					11	K06052	JAG1	 jagged-1	6		K06052		"Endocrine resistance, Notch signaling pathway, Apelin signaling pathway, Th1 and Th2 cell differentiation, TNF signaling pathway, Human papillomavirus infection, Pathways in cancer, Breast cancer"	A0A3M6V0X4	Uncharacterized protein (Fragment)		integral component of membrane [GO:0016021]; intein-mediated protein splicing [GO:0016539]	intein-mediated protein splicing [GO:0016539]
lcl|c242793_g1_i1|m.30227	m.30227	 jagged-1* [JAG1] (m.30227)					13	K06052	JAG1	 jagged-1	5		K06052		"Endocrine resistance, Notch signaling pathway, Apelin signaling pathway, Th1 and Th2 cell differentiation, TNF signaling pathway, Human papillomavirus infection, Pathways in cancer, Breast cancer"					
lcl|c242803_g1_i3|m.30250	m.30250	 krueppel-like factor 2* [KLF2] (m.30250)					1	K17845	KLF2	 krueppel-like factor 2	1		K17845		"FoxO signaling pathway, Apelin signaling pathway, Fluid shear stress and atherosclerosis"					
lcl|c242839_g1_i1|m.30267	m.30267	signal transduction [GO:0007165]** [] (m.30267)														A0A3M6V1P8	Uncharacterized protein		signal transduction [GO:0007165]	signal transduction [GO:0007165]
lcl|c242839_g1_i1|m.30269	m.30269	 afadin [AF6] (m.30269)	K05702	AF6	 afadin		18						K05702	"Ras signaling pathway, Rap1 signaling pathway, cAMP signaling pathway, Adherens junction, Tight junction, Leukocyte transendothelial migration"		A0A2B4SX83	Afadin			
lcl|c242839_g1_i1|m.30268	m.30268	 afadin [AF6] (m.30268)	K05702	AF6	 afadin		213						K05702	"Ras signaling pathway, Rap1 signaling pathway, cAMP signaling pathway, Adherens junction, Tight junction, Leukocyte transendothelial migration"						
lcl|c242843_g2_i5|m.30275	m.30275	NTPase_I-T domain-containing protein* [] (m.30275)					58									A0A3M6UIR0	NTPase_I-T domain-containing protein			
lcl|c242855_g1_i2|m.30293	m.30293	Nucleoplasmin-like protein ANO39* [] (m.30293)														A0A2B4S1P5	Nucleoplasmin-like protein ANO39			
lcl|c242868_g4_i4|m.30303	m.30303	 H+-translocating NAD(P) transhydrogenase  [NNT] (m.30303)	K00323	NNT	 H+-translocating NAD(P) transhydrogenase 	[EC:1.6.1.2 7.1.1.1]	694						K00323	"Nicotinate and nicotinamide metabolism, Metabolic pathways"		A0A2B4SX48	"NAD(P) transhydrogenase, mitochondrial"		integral component of membrane [GO:0016021]; NAD(P)+ transhydrogenase activity [GO:0008746]; proton transmembrane transport [GO:1902600]	proton transmembrane transport [GO:1902600]
lcl|c242869_g2_i4|m.30308	m.30308	* [] (m.30308)																		
lcl|c242872_g1_i1|m.30313	m.30313	Laminin subunit gamma-1* [] (m.30313)														A0A2B4R5Y8	Laminin subunit gamma-1			
lcl|c242878_g1_i4|m.30326	m.30326	 heterogeneous nuclear ribonucleoprotein A1/A3 [HNRNPA1_3] (m.30326)	K12741	HNRNPA1_3	 heterogeneous nuclear ribonucleoprotein A1/A3		34						K12741	"Spliceosome, Amyotrophic lateral sclerosis"						
lcl|c242885_g1_i1|m.30332	m.30332	WD repeat-containing protein 65* [] (m.30332)					955									A0A2B4S6V1	WD repeat-containing protein 65			
lcl|c242886_g1_i3|m.30336	m.30336	 chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]* [pheA] (m.30336)					1	K14170	pheA	 chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]	1		K14170		"Phenylalanine, tyrosine and tryptophan biosynthesis, Biosynthesis of amino acids, Metabolic pathways, Biosynthesis of secondary metabolites"	A0A3M6UBL8	Uncharacterized protein			
lcl|c242894_g3_i1|m.30343	m.30343	 isocitrate lyase  [ICL] (m.30343)	K01637	ICL	 isocitrate lyase 	[EC:4.1.3.1]	315						K01637	"Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"		G8HTB9	Uncharacterized protein		isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; carboxylic acid metabolic process [GO:0019752]	carboxylic acid metabolic process [GO:0019752]
lcl|c242902_g2_i1|m.30362	m.30362	 golgi apparatus protein 1 [GLG1] (m.30362)	K06816	GLG1	 golgi apparatus protein 1		10						K06816	Cell adhesion molecules						
lcl|c242920_g6_i2|m.30392	m.30392	* [] (m.30392)					37	K16364			4		K16364							
lcl|c242923_g2_i6|m.30397	m.30397	 2'-5'-oligoadenylate synthetase  [OAS] (m.30397)	K14216	OAS	 2'-5'-oligoadenylate synthetase 	[EC:2.7.7.84]	21						K14216	"Epstein-Barr virus infection, NOD-like receptor signaling pathway, Hepatitis C, Measles, Influenza A, Herpes simplex virus 1 infection"						
lcl|c242924_g1_i1|m.30399	m.30399	 glutamine synthetase  [glnA] (m.30399)	K01915	glnA	 glutamine synthetase 	[EC:6.3.1.2]	388						K01915	"Nitrogen metabolism, Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Biosynthesis of amino acids, GABAergic synapse, Metabolic pathways, Microbial metabolism in diverse environments, Two-component system, Necroptosis, Glutamatergic synapse"		A0A3G7GJU7	Glutamine synthetase (EC 6.3.1.2)		ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]	glutamine biosynthetic process [GO:0006542]
lcl|c242928_g1_i2|m.30412	m.30412	* [] (m.30412)																		
lcl|c242934_g1_i4|m.30427	m.30427	integral component of membrane [GO:0016021]** [] (m.30427)														A0A3M6UPE2	Uncharacterized protein		integral component of membrane [GO:0016021]	
lcl|c242947_g1_i2|m.30436	m.30436	* [] (m.30436)																		
lcl|c242974_g2_i1|m.30459	m.30459	* [] (m.30459)		PNLIP	 pancreatic triacylglycerol lipase 	[EC:3.1.1.3]	13	K19404			9		K14073							
lcl|c242993_g3_i1|m.30478	m.30478	" mannose receptor, C type* [MRC] (m.30478)"					134	K06560	MRC	" mannose receptor, C type"	1		K06560		"Phagosome, Tuberculosis"	A0A3M6TQD4	Uncharacterized protein			
lcl|c243004_g1_i1|m.30509	m.30509	 splicing factor 3B subunit 1 [SF3B1] (m.30509)	K12828	SF3B1	 splicing factor 3B subunit 1		869						K12828	Spliceosome						
lcl|c243004_g1_i3|m.30514	m.30514	* [] (m.30514)																		
lcl|c243010_g3_i1|m.30515	m.30515	" capping protein (actin filament) muscle Z-line, alpha [CAPZA] (m.30515)"	K10364	CAPZA	" capping protein (actin filament) muscle Z-line, alpha"		126						K10364	Endocytosis		A0A2B4SF12	F-actin-capping protein subunit alpha		F-actin capping protein complex [GO:0008290]; actin binding [GO:0003779]; barbed-end actin filament capping [GO:0051016]	barbed-end actin filament capping [GO:0051016]
lcl|c243015_g1_i1|m.30516	m.30516	 guanylate-binding protein 1/3/4/7* [GBP1_3_4_7] (m.30516)					20	K20899	GBP1_3_4_7	 guanylate-binding protein 1/3/4/7	13		K20899		NOD-like receptor signaling pathway					
